,Instance,Time,Modularity
0,graph0.gml,0.050457000732421875,0.5463872544122
1,graph1.gml,0.0986933708190918,0.5417407881053268
2,graph2.gml,0.1501789093017578,0.507597991605524
3,graph3.gml,0.08317017555236816,0.540643445518153
4,graph4.gml,1.4753613471984863,0.5013722762165159
5,graph5.gml,0.32162904739379883,0.5053376945288974
6,graph6.gml,0.04764986038208008,0.5984713665150672
7,graph7.gml,0.21663880348205566,0.5108700009155829
8,graph8.gml,0.2447056770324707,0.5053363819692496
9,graph9.gml,0.6629030704498291,0.5035339117215083
10,graph10.gml,0.5465221405029297,0.501692201160101
11,graph11.gml,0.0724630355834961,0.5041304984885678
12,graph12.gml,0.37241244316101074,0.5045014350692916
13,graph13.gml,1.0660419464111328,0.5004563333449619
14,graph14.gml,0.2605922222137451,0.5075974173905405
15,graph15.gml,0.6747713088989258,0.5011811126563122
16,graph16.gml,0.6236410140991211,0.5007625179383669
17,graph17.gml,0.27358078956604004,0.5045417377375865
18,graph18.gml,0.023697376251220703,0.5240716874219139
19,graph19.gml,1.153463363647461,0.5011175724411142
20,graph20.gml,0.10491347312927246,0.51914066937411
21,graph21.gml,0.5044786930084229,0.50361397058738
22,graph22.gml,0.2371385097503662,0.5090803738881906
23,graph23.gml,0.02739858627319336,0.5268959638034237
24,graph24.gml,1.154716968536377,0.500788932730674
25,graph25.gml,0.23008513450622559,0.5026925366764166
26,graph26.gml,0.6498873233795166,0.5038708970349186
27,graph27.gml,0.18817973136901855,0.5167973281295625
28,graph28.gml,1.0922167301177979,0.5024128704485928
29,graph29.gml,0.5508019924163818,0.5006218394292413
30,graph30.gml,0.21004676818847656,0.5016510579710819
31,graph31.gml,1.3714489936828613,0.5019189777818657
32,graph32.gml,0.35467982292175293,0.5066700740182455
33,graph33.gml,1.0549976825714111,0.5007974776871553
34,graph34.gml,0.16334867477416992,0.502651861577064
35,graph35.gml,0.19139671325683594,0.5053215889688196
36,graph36.gml,0.9947748184204102,0.5008295965439766
37,graph37.gml,1.2764840126037598,0.5020018116871164
38,graph38.gml,0.21049284934997559,0.5109892122424238
39,graph39.gml,0.17094945907592773,0.5025648199879481
40,graph40.gml,1.092573642730713,0.5008162277956577
41,graph41.gml,0.5519084930419922,0.5044089843141252
42,graph42.gml,0.04840540885925293,0.5702802893309223
43,graph43.gml,0.03415346145629883,0.5972058752936786
44,graph44.gml,0.748079776763916,0.5020923656781087
45,graph45.gml,0.1002509593963623,0.5071641964527023
46,graph46.gml,1.1653079986572266,0.5031841645098997
47,graph47.gml,0.36883020401000977,0.5020625165759709
48,graph48.gml,0.2824106216430664,0.5038378976644986
49,graph49.gml,0.41098856925964355,0.5014422877906891
50,graph50.gml,0.4234805107116699,0.5043806922861082
51,graph51.gml,0.5153276920318604,0.5033570061721105
52,graph52.gml,0.38291096687316895,0.506899218243075
53,graph53.gml,1.2818458080291748,0.5013909363063452
54,graph54.gml,0.5790257453918457,0.5006883460168314
55,graph55.gml,1.7156996726989746,0.5020336969407295
56,graph56.gml,1.0064339637756348,0.5003742936200142
57,graph57.gml,0.8421816825866699,0.5022834519500472
58,graph58.gml,0.3872077465057373,0.5019720626247967
59,graph59.gml,0.472153902053833,0.5036960309788434
60,graph60.gml,1.3056120872497559,0.5005886645214915
61,graph61.gml,1.295236349105835,0.5004626991951877
62,graph62.gml,0.32057976722717285,0.5065392005792928
63,graph63.gml,0.5040280818939209,0.5039333656700684
64,graph64.gml,1.299609661102295,0.5003682659758666
65,graph65.gml,0.7874443531036377,0.5006205876507704
66,graph66.gml,0.11353921890258789,0.522193869176824
67,graph67.gml,1.5127639770507812,0.5008691324723791
68,graph68.gml,1.7091262340545654,0.5019577316176487
69,graph69.gml,0.41382265090942383,0.5080697521435834
70,graph70.gml,0.08915019035339355,0.5522370216885011
71,graph71.gml,0.686676025390625,0.5011314584281076
72,graph72.gml,0.24491429328918457,0.5148717517735143
73,graph73.gml,1.3377203941345215,0.5004634282228652
74,graph74.gml,1.1284756660461426,0.5024162233018514
75,graph75.gml,0.4220123291015625,0.5071602962935708
76,graph76.gml,1.1147878170013428,0.5030213083842167
77,graph77.gml,0.32907581329345703,0.5007888149313877
78,graph78.gml,0.6601858139038086,0.5035604433692783
79,graph79.gml,0.07011628150939941,0.5153517449156343
80,graph80.gml,1.2939541339874268,0.5020136497671771
81,graph81.gml,0.6515522003173828,0.5012444688969608
82,graph82.gml,0.1318371295928955,0.5216570690585915
83,graph83.gml,0.7863965034484863,0.501782813391124
84,graph84.gml,0.07210183143615723,0.530272684644257
85,graph85.gml,0.7649881839752197,0.5004872068015895
86,graph86.gml,1.4785499572753906,0.5017842676623148
87,graph87.gml,0.33527421951293945,0.5062756944995627
88,graph88.gml,0.5162250995635986,0.5029419105347124
89,graph89.gml,0.6165621280670166,0.5011190493875979
90,graph90.gml,0.6218953132629395,0.5039255883586243
91,graph91.gml,1.7506816387176514,0.5019978948466566
92,graph92.gml,0.03930997848510742,0.6275395714624076
93,graph93.gml,0.29612207412719727,0.5097256942501993
94,graph94.gml,0.7103054523468018,0.502397463608023
95,graph95.gml,0.13885974884033203,0.5036457106702349
96,graph96.gml,0.31131577491760254,0.501479845688791
97,graph97.gml,0.3717362880706787,0.5052661683355955
98,graph98.gml,0.6003353595733643,0.5033152805177294
99,graph99.gml,0.507199764251709,0.5030138703992676
